,BranchLenght,BranchPerimeter,DecayRange,PercBarkAttached,HostPlant,VegetationSubtype,VegetationType,LocName,Exposure,Elevation,CanopyHeight,PercCanopyCover,PerLeafLitter,CollectionMonth,CollectionYear
Sample1284,85,63,1,100,Cystus_symphytifolius,PinarMixto,Pinar,LomoChillero,N,1183,30,70,82,May,Y2012
Sample1286,148,95.5,1,100,Cystus_symphytifolius,PinarMixto,Pinar,LomoChillero,N,1183,30,70,82,May,Y2012
Sample1287,70,35.5,1.2,100,Adenocarpus_viscosus,PinarTipico,Pinar,LomoGordo,S,1590,50,40,90,Mar,Y2013
Sample1292,70,38,2,95,Adenocarpus_viscosus,PinarTipico,Pinar,LomoGordo,S,1590,50,40,90,Mar,Y2013
Sample13,65,25,2.7,80,Euphorbia_canariensis,Cardonal,TabaibalCardonal,PozosFajana,N,77,1.5,35,5,Oct,Y2012
Sample130,73,6.5,1.3,70,Plocama_pendula,TabaibalDulce,TabaibalCardonal,LomoToldas,N,174,3.5,75,5,Dec,Y2012
Sample1311,141,83,1.2,5,Chamaecytisus_proliferus,PinarTipico,Pinar,LomoGordo,S,1590,50,40,90,Apr,Y2012
Sample1317,106,68.5,1.3,0,Pinus_canariensis,PinarTipico,Pinar,LomoGordo,S,1590,50,40,90,Feb,Y2012
Sample1318,75,53.5,1,0,Pinus_canariensis,PinarTipico,Pinar,LomoGordo,S,1590,50,40,90,Feb,Y2012
Sample132,130,15,1,60,Plocama_pendula,TabaibalDulce,TabaibalCardonal,LomoToldas,N,174,3.5,75,5,Dec,Y2012
Sample133,58,5,1,15,Plocama_pendula,TabaibalDulce,TabaibalCardonal,LomoToldas,N,174,3.5,75,5,May,Y2013
Sample1330,71,57.5,1,30,Sideritis_soluta,PinarTipico,Pinar,LomoGordo,S,1590,50,40,90,Mar,Y2013
Sample1331,77,61,1,80,Sideritis_soluta,PinarTipico,Pinar,LomoGordo,S,1590,50,40,90,Mar,Y2013
Sample1337,135,70.5,1.3,100,Adenocarpus_foliolosus,PinarTipico,Pinar,LasLajitas,S,1435,30,40,90,Mar,Y2012
Sample1355,89,56.5,1,0,Echium_leucophaeum,PinarTipico,Pinar,LasLajitas,S,1435,30,40,90,Mar,Y2013
Sample1356,59,42,1,0,Echium_leucophaeum,PinarTipico,Pinar,LasLajitas,S,1435,30,40,90,Mar,Y2013
Sample1365,147,90.5,1,0,Pinus_canariensis,PinarTipico,Pinar,LasLajitas,S,1435,30,40,90,Feb,Y2012
Sample1369,172,105,1.2,5,Pinus_canariensis,PinarTipico,Pinar,LasLajitas,S,1435,30,40,90,Apr,Y2012
Sample1374,80,61.5,1,70,Sideritis_soluta,PinarTipico,Pinar,LasLajitas,S,1435,30,40,90,Mar,Y2013
Sample1386,15,10.5,1.8,0,Aeonium_arboreum,PinarTipico,Pinar,MartelaTrujillo,S,1195,35,40,85,Apr,Y2012
Sample1389,37,23,1.3,100,Aeonium_arboreum,PinarTipico,Pinar,MartelaTrujillo,S,1195,35,40,85,Apr,Y2012
Sample1398,109,63.5,1,90,Carlina_xeranthemoides,PinarTipico,Pinar,MartelaTrujillo,S,1195,35,40,85,Mar,Y2013
Sample1404,100,62,1,70,Cystus_monspeliensis,PinarTipico,Pinar,MartelaTrujillo,S,1195,35,40,85,Mar,Y2012
Sample1408,72,50,1,30,Cystus_monspeliensis,PinarTipico,Pinar,MartelaTrujillo,S,1195,35,40,85,Mar,Y2013
Sample1409,68,48.5,1,40,Cystus_monspeliensis,PinarTipico,Pinar,MartelaTrujillo,S,1195,35,40,85,Mar,Y2013
Sample1413,66,49.5,1,15,Cystus_symphytifolius,PinarTipico,Pinar,MartelaTrujillo,S,1195,35,40,85,Apr,Y2012
Sample1415,59,47,1,70,Cystus_symphytifolius,PinarTipico,Pinar,MartelaTrujillo,S,1195,35,40,85,Apr,Y2012
Sample1421,59,50,1,80,Chamaecytisus_proliferus,PinarTipico,Pinar,MartelaTrujillo,S,1195,35,40,85,Apr,Y2012
Sample1422,109,75.5,1,60,Chamaecytisus_proliferus,PinarTipico,Pinar,MartelaTrujillo,S,1195,35,40,85,Apr,Y2012
Sample1424,87,65.5,1.7,0,Chamaecytisus_proliferus,PinarTipico,Pinar,MartelaTrujillo,S,1195,35,40,85,Mar,Y2013
Sample1429,56,52.5,2,85,Euphorbia_lamarckii,PinarTipico,Pinar,MartelaTrujillo,S,1195,35,40,85,Mar,Y2013
Sample1431,101,76,2.2,90,Euphorbia_lamarckii,PinarTipico,Pinar,MartelaTrujillo,S,1195,35,40,85,Mar,Y2013
Sample1434,87,70.5,1,0,Pinus_canariensis,PinarTipico,Pinar,MartelaTrujillo,S,1195,35,40,85,Mar,Y2012
Sample1438,84,71,1.2,0,Pinus_canariensis,PinarTipico,Pinar,MartelaTrujillo,S,1195,35,40,85,Mar,Y2012
